CODIGO,TÍTULO,AUTOR,EDITORIAL,ESTADO,UBICACIÓN 
20.3.13.4.05.077,EL OSO QUE NO LO ERA,FRANK TASHLIN,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.078,EL PRODIGIOSO DE LA MONTAÑA,MARTÍN DÍAZ VALDEZ,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.079,EL PRODIGIOSO DE LA MONTAÑA,MARTÍN DÍAZ VALDEZ,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.080,EL PUENTE DE LOS COYOTES,EDNA ITURRALDE,"LOQUELEO, SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.081,EL PUENTE DE LOS COYOTES,EDNA ITURRALDE,"LOQUELEO, SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.082,EL REFUGIO DE MARIANA,GABRIELA CAMPOS,"LOQUELEO, SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.083,EL REFUGIO DE MARIANA,GABRIELA CAMPOS,"LOQUELEO, SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.084,EL REY CANGREJO,JOSÉ GARCÍA ESCOBAR,"LOQUELEO, SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.085,EL REY CANGREJO,JOSÉ GARCÍA ESCOBAR,"LOQUELEO, SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.086,EL ROJO ERA EL COLOR DE MAMÁ,GERARDO MENESES,"LOQUELEO, SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.087,EL ROJO ERA EL COLOR DE MAMÁ,GERARDO MENESES,"LOQUELEO, SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.088,EL SANTIAGUITO,BETTY HANNSTEIN DE ADAMS,"LOQUELEO, SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.089,EL SANTIAGUITO,BETTY HANNSTEIN DE ADAMS,"LOQUELEO, SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.090,"EL TERROR DE SEXTO ""B""",YOLANDA REYES,"LOQUELEO, SANTILLANA",EXCELENTE,M3A2
