CODIGO,TÍTULO,AUTOR,EDITORIAL,ESTADO,UBICACIÓN 
DRTSC.2.2186,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO I",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D3
DRTSC.2.2187,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO I",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D3
DRTSC.2.2188,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO I",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D3
DRTSC.2.2189,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO I",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2190,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO I",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2191,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO I",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2192,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO I",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2193,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2194,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2195,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2196,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2197,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2198,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2199,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2200,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2201,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2202,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2203,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2204,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2205,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2206,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2207,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2208,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2209,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
DRTSC.2.2210,"HISTORIA DEL ISTMO CENTROAMERICANO, TOMO II",COORDINACIÓN EDUCATIVA Y CULTURAL CENTROAMERICANA,GRUPO EDITORIAL SIQUISIRÍ,EXCELENTE,M2D4
